data: 1036
experience: 363
business: 257
role: 242
team: 230
skills: 223
work: 198
analyst: 190
working: 178
insights: 172
analytics: 159
analysis: 140
strong: 126
support: 119
-: 114
data analyst: 113
company: 112
stakeholders: 110
join: 102
key: 102
across: 98
development: 98
tools: 96
teams: 93
solutions: 93
within: 93
ability: 93
management: 87
reporting: 86
client: 86
sql: 85
including: 85
customer: 85
senior: 84
performance: 84
projects: 83
salary: 83
technical: 83
science: 82
apply: 78
models: 77
benefits: 77
bi: 76
python: 76
looking: 76
ensure: 74
using: 74
complex: 72
days: 72
knowledge: 71
opportunity: 71
power: 70
learning: 69
product: 68
develop: 68
lead: 67
us: 67
excellent: 66
new: 65
expertise: 64
analytical: 63
opportunities: 62
youll: 61
environment: 60
data science: 60
part: 60
please: 59
london: 59
financial: 59
requirements: 59
marketing: 58
uk: 57
help: 56
understanding: 55
hybrid: 54
services: 54
digital: 54
intelligence: 54
actionable: 53
power bi: 53
responsibilities: 51
building: 51
location: 51
clients: 51
provide: 49
drive: 49
process: 49
statistical: 49
quality: 48
/: 48
office: 47
communication: 47
make: 47
reports: 47
ai: 46
like: 46
people: 46
dashboards: 45
leading: 45
also: 45
technology: 45
design: 45
delivering: 45
growth: 44
organisation: 44
use: 44
visualisation: 44
impact: 44
quantitative: 44
best: 43
techniques: 43
understand: 43
customers: 43
data-driven: 42
range: 42
research: 41
processes: 41
deliver: 41
modelling: 41
skills experience: 41
job: 41
one: 41
global: 41
insight: 41
closely: 40
bonus: 40
senior data: 40
information: 40
based: 40
time: 40
needs: 39
advanced: 39
machine: 39
collaborate: 39
(eg: 39
improve: 38
identify: 38
create: 38
tableau: 38
data analysis: 38
machine learning: 38
strategies: 38
communicate: 38
essential: 38
offer: 38
ensuring: 37
developing: 37
insurance: 37
well: 37
successful: 37
training: 36
culture: 36
plus: 36
large: 36
contract: 36
excel: 36
platform: 35
focus: 35
data analytics: 35
operations: 35
build: 35
problems: 35
manage: 35
candidate: 34
products: 34
need: 34
industry: 34
proven: 34
